animeID,studio
682,Tokyo Kids
685,OLM
685,AIC A.S.T.A.
686,AIC A.S.T.A.
687,Studio Pierrot
688,Hal Film Maker
689,Hal Film Maker
690,AIC
691,Madhouse
693,AIC
694,Zexcs
696,AIC
704,Toei Animation
706,Radix
706,Chaos Project
707,OLM
708,Telecom Animation Film
709,Madhouse
709,Telecom Animation Film
710,Shaft
712,Shogakukan Music & Digital Entertainment
713,Toei Animation
715,J.C.Staff
718,J.C.Staff
723,Toei Animation
727,Toei Animation
731,Toei Animation
732,Production Reed
738,SynergySP
740,Toei Animation
743,J.C.Staff
743,Studio Ghibli
744,AIC
750,Studio Deen
751,Studio Deen
752,J.C.Staff
754,TMS Entertainment
757,"""Brains Base"""
758,Bones
759,Madhouse
760,Madhouse
761,Studio Pierrot
762,Studio Pierrot
763,Xebec
764,Xebec
766,Group TAC
766,View Works
767,AIC
769,AIC
770,Studio Rikka
771,Bee Train
773,Studio Pierrot
776,J.C.Staff
777,Madhouse
777,Satelight
777,Graphinica
779,TMS Entertainment
780,TMS Entertainment
781,TMS Entertainment
782,Sunrise
783,Group TAC
785,Gainax
786,Creators Dot Com
788,J.C.Staff
789,Group TAC
789,Ginga Ya
790,Manglobe
791,Sunrise
793,Production I.G
795,Tezuka Productions
796,Nippon Animation
797,Daume
798,J.C.Staff
799,Studio Deen
800,Triangle Staff
801,Production I.G
807,Production I.G
808,Xebec
808,Production Reed
811,Studio Pierrot
811,Arms
812,Satelight
813,Toei Animation
814,Trans Arts
815,Production I.G
816,Radix
817,Actas
818,Shaft
819,Vega Entertainment
820,Artland
820,Magic Bus
821,Pastel
822,Pastel
825,Production I.G
831,J.C.Staff
833,Gonzo
834,Studio Pierrot
835,Zexcs
836,Zexcs
837,Shinkuukan
838,Planet
839,Ajia-Do
840,Studio Live
841,Triangle Staff
841,Studio Wombat
842,Pastel
844,Toei Animation
845,Madhouse
846,Studio Comet
848,feel.
849,Kyoto Animation
850,Tokyo Kids
851,Studio Pierrot
852,Toei Animation
853,Bones
854,Picture Magic
855,Madhouse
855,Imagin
856,OLM
857,Toei Animation
858,"""Brains Base"""
859,Toei Animation
860,OLM
861,Production I.G
863,Arms
864,Sunrise
865,Sunrise
866,Hal Film Maker
867,J.C.Staff
868,J.C.Staff
869,J.C.Staff
870,Production I.G
872,Studio 4°C
873,Bee Train
874,Toei Animation
875,Studio 4°C
876,Studio Hibari
876,Production Reed
877,Madhouse
878,Sunrise
879,Studio Deen
880,AIC
882,Studio Pierrot
883,Studio Pierrot
884,OLM Digital
885,Studio Deen
886,Studio Deen
889,Madhouse
890,Sunrise
891,Toei Animation
892,Toei Animation
893,Toei Animation
894,Toei Animation
895,Toei Animation
896,Toei Animation
897,Toei Animation
898,Toei Animation
899,Toei Animation
900,Toei Animation
901,Toei Animation
902,Toei Animation
903,Toei Animation
904,Toei Animation
905,Toei Animation
906,Toei Animation
907,Studio Deen
908,Bones
909,Satelight
910,Arms
911,Toei Animation
912,Studio Pierrot
913,TMS Entertainment
914,Studio Hibari
915,Studio Deen
916,AIC Spirits
916,Group TAC
917,AIC
917,Artmic
918,Sunrise
919,OLM
920,Kyoto Animation
920,Tatsunoko Production
921,Tatsunoko Production
924,Toei Animation
925,Toei Animation
926,Toei Animation
927,Actas
929,Sunrise
930,Sunrise
932,Daume
933,Diomedea
934,Studio Deen
935,Gonzo
936,Studio Pierrot
937,Gainax
940,Seven Arcs
941,Remic
942,Hal Film Maker
943,Madhouse
944,Xebec
949,Gainax
950,APPP
951,Nippon Animation
952,Madhouse
952,TNK
953,Bones
956,Toei Animation
957,Madhouse
958,Satelight
959,Nippon Animation
960,Nippon Animation
961,Tokyo Movie Shinsha
962,Hal Film Maker
964,Imagin
964,Studio Live
965,Studio Hibari
966,Shin-Ei Animation
967,Toei Animation
969,Bee Train
970,Enoki Films
970,Dai Nippon Printing
971,Tezuka Productions
973,Gonzo
973,Satelight
974,Production I.G
975,Ajia-Do
976,Ajia-Do
978,"""Brains Base"""
979,Plum
981,Madhouse
983,TNK
984,Toei Animation
985,Toei Animation
986,Toei Animation
987,Toei Animation
989,T.P.O
990,Toei Animation
992,AIC
994,Mook Animation
995,M.S.C
996,Toei Animation
997,Toei Animation
997,Production Reed
998,Production I.G
998,Production Reed
999,Production I.G
1000,Toei Animation
1001,Telecom Animation Film
1002,Gainax
1005,Studio Deen
1006,AIC
1008,Gainax
1008,Studio Deen
1010,Studio Deen
1011,Sunrise
1012,Madhouse
1013,Production I.G
1014,J.C.Staff
1015,Kyoto Animation
1016,Madhouse
1017,J.C.Staff
1018,J.C.Staff
1019,Madhouse
1021,Studio Hibari
1022,Tatsunoko Production
1023,Bones
1025,AIC
1025,APPP
1026,Studio Pierrot
1029,Studio Ghibli
